# ipc_version: 2026.01
# source: WIPO IPC scheme EN XML 2026.01 + CNIPA Chinese classification PDFs
code,zh,en
C21C,生铁的加工处理，例如精炼、熟铁或钢的冶炼,"PROCESSING OF PIG-IRON, e.g. REFINING, MANUFACTURE OF WROUGHT-IRON OR STEEL；TREATMENT IN MOLTEN STATE OF FERROUS ALLOYS"
C21D,改变黑色金属的物理结构,"MODIFYING THE PHYSICAL STRUCTURE OF FERROUS METALS；GENERAL DEVICES FOR HEAT TREATMENT OF FERROUS OR NON-FERROUS METALS OR ALLOYS；MAKING METAL MALLEABLE, e.g. BY DECARBURISATION OR TEMPERING"
C22B,金属的生产或精炼,PRODUCTION OR REFINING OF METALS；PRETREATMENT OF RAW MATERIALS
C22C,合金,ALLOYS
C22F,改变有色金属或有色合金的物理结构,CHANGING THE PHYSICAL STRUCTURE OF NON-FERROUS METALS OR NON-FERROUS ALLOYS
C23C,对金属材料的镀覆,"COATING METALLIC MATERIAL；COATING MATERIAL WITH METALLIC MATERIAL；SURFACE TREATMENT OF METALLIC MATERIAL BY DIFFUSION INTO THE SURFACE, BY CHEMICAL CONVERSION OR SUBSTITUTION；COATING BY VACUUM EVAPORATION, BY SPUTTERING, BY ION IMPLANTATION OR BY CHEMICAL VAPOUR DEPOSITION, IN GENERAL"
C23D,金属的搪瓷或涂玻璃层,"ENAMELLING OF, OR APPLYING A VITREOUS LAYER TO, METALS"
C23F,非机械方法去除表面上的金属材料,NON-MECHANICAL REMOVAL OF METALLIC MATERIAL FROM SURFACES；INHIBITING CORROSION OF METALLIC MATERIAL；INHIBITING INCRUSTATION IN GENERAL；MULTI-STEP PROCESSES FOR SURFACE TREATMENT OF METALLIC MATERIAL INVOLVING AT LEAST ONE PROCESS PROVIDED FOR IN CLASS  AND AT LEAST ONE PROCESS COVERED BY SUBCLASS  OR  OR CLASS
C23G,电解法除外的化学法金属材料清洗或除油,CLEANING OR DEGREASING OF METALLIC MATERIAL BY CHEMICAL METHODS OTHER THAN ELECTROLYSIS
C25B,生产化合物或非金属的电解工艺或电泳工艺,ELECTROLYTIC OR ELECTROPHORETIC PROCESSES FOR THE PRODUCTION OF COMPOUNDS OR NON- METALS；APPARATUS THEREFOR
C25C,电解法生产、回收或精炼金属的工艺,"PROCESSES FOR THE ELECTROLYTIC PRODUCTION, RECOVERY OR REFINING OF METALS；APPARATUS THEREFOR"
C25D,覆层的电解或电泳生产工艺方法,PROCESSES FOR THE ELECTROLYTIC OR ELECTROPHORETIC PRODUCTION OF COATINGS；ELECTROFORMING；JOINING WORKPIECES BY ELECTROLYSIS；APPARATUS THEREFOR
C25F,电解法除去物体上材料的方法,PROCESSES FOR THE ELECTROLYTIC REMOVAL OF MATERIALS FROM OBJECTS；APPARATUS THEREFOR
C30B,单晶生长,SINGLE-CRYSTAL GROWTH；UNIDIRECTIONAL SOLIDIFICATION OF EUTECTIC MATERIAL OR UNIDIRECTIONAL DEMIXING OF EUTECTOID MATERIAL；REFINING BY ZONE-MELTING OF MATERIAL；PRODUCTION OF A HOMOGENEOUS POLYCRYSTALLINE MATERIAL WITH DEFINED STRUCTURE；SINGLE CRYSTALS OR HOMOGENEOUS POLYCRYSTALLINE MATERIAL WITH DEFINED STRUCTURE；AFTER-TREATMENT OF SINGLE CRYSTALS OR A HOMOGENEOUS POLYCRYSTALLINE MATERIAL WITH DEFINED STRUCTURE；APPARATUS THEREFOR
C40B,组合化学,"COMBINATORIAL CHEMISTRY；LIBRARIES, e.g. CHEMICAL LIBRARIES"
C99Z,本部其他未列入的技术主题,SUBJECT MATTER NOT OTHERWISE PROVIDED FOR IN THIS SECTION
D01B,为生产纤维或长丝而对天然纤维或长丝原料进行的机械处理,"MECHANICAL TREATMENT OF NATURAL FIBROUS OR FILAMENTARY MATERIAL TO OBTAIN FIBRES OR FILAMENTS, e.g. FOR SPINNING"
D01C,为制得可纺纱的长丝或纤维，而对天然的长丝状或纤维状原料进行的化学或生物处理,CHEMICAL OR BIOLOGICAL TREATMENT OF NATURAL FILAMENTARY OR FIBROUS MATERIAL TO OBTAIN FILAMENTS OR FIBRES FOR SPINNING；CARBONISING RAGS TO RECOVER ANIMAL FIBRES
D01D,制作化学长丝、线、纤维、鬃或带子的机械方法或设备,"MECHANICAL METHODS OR APPARATUS IN THE MANUFACTURE OF MAN-MADE FILAMENTS, THREADS, FIBRES, BRISTLES OR RIBBONS"
D01F,制作人造长丝，线，纤维，鬃或带子的化学特征,"CHEMICAL FEATURES IN THE MANUFACTURE OF MAN-MADE FILAMENTS, THREADS, FIBRES, BRISTLES OR RIBBONS；APPARATUS SPECIALLY ADAPTED FOR THE MANUFACTURE OF CARBON FILAMENTS"
D01G,纤维的预处理,"PRELIMINARY TREATMENT OF FIBRES, e.g. FOR SPINNING"
D01H,纺纱或加捻,SPINNING OR TWISTING
D02G,纤维,"CRIMPING OR CURLING FIBRES, FILAMENTS, YARNS, OR THREADS；YARNS OR THREADS"
D02H,整经、倒轴或分绞,"WARPING, BEAMING, OR LEASING"
D02J,长丝、纱、线、缆、绳等的整理,"FINISHING OR DRESSING OF FILAMENTS, YARNS, THREADS, CORDS, ROPES, OR THE LIKE"
D03C,开口机构,SHEDDING MECHANISMS；PATTERN CARDS OR CHAINS；PUNCHING OF CARDS；DESIGNING PATTERNS
D03D,机织织物,WOVEN FABRICS；METHODS OF WEAVING；LOOMS
D03J,织造的辅助设备,AUXILIARY WEAVING APPARATUS；WEAVERS' TOOLS；SHUTTLES
D04B,针织,KNITTING
D04C,花边，包括六角网眼花边或碳化花边的编织或制作,"BRAIDING OR MANUFACTURE OF LACE, INCLUDING BOBBIN-NET OR CARBONISED LACE；BRAIDING MACHINES；BRAID；LACE"
D04D,饰带,"TRIMMINGS；RIBBONS, TAPES, OR BANDS, NOT OTHERWISE PROVIDED FOR"
D04G,长丝原料打结制网,MAKING NETS BY KNOTTING OF FILAMENTARY MATERIAL；MAKING KNOTTED CARPETS OR TAPESTRIES；KNOTTING NOT OTHERWISE PROVIDED FOR
D04H,制造纺织品,"MAKING TEXTILE FABRICS, e.g. FROM FIBRES OR FILAMENTARY MATERIAL；FABRICS MADE BY SUCH PROCESSES OR APPARATUS, e.g. FELTS, NON-WOVEN FABRICS；COTTON-WOOL；WADDING"
D05B,缝纫,SEWING
D05C,绣花,EMBROIDERING；TUFTING
D06B,纺织材料的液相、气相或蒸汽处理,"TREATING TEXTILE MATERIALS USING LIQUIDS, GASES OR VAPOURS"
D06C,织物的整理、上浆、拉幅或伸长,"FINISHING, DRESSING, TENTERING OR STRETCHING TEXTILE FABRICS"
D06F,纺织品的洗涤、干燥、熨烫、压平或打折,"LAUNDERING, DRYING, IRONING, PRESSING OR FOLDING TEXTILE ARTICLES"
D06G,地毯、小地毯、麻袋、兽皮或其他皮，或纺织品或纤维织物的机械或高压清洁,"MECHANICAL OR PRESSURE CLEANING OF CARPETS, RUGS, SACKS, HIDES, OR OTHER SKIN OR TEXTILE ARTICLES OR FABRICS；TURNING INSIDE-OUT FLEXIBLE TUBULAR OR OTHER HOLLOW ARTICLES"
D06H,纺织材料作标记、检验、接缝或切断,"MARKING, INSPECTING, SEAMING OR SEVERING TEXTILE MATERIALS"
D06J,织物或服装的打褶、打裥或褶裥处理,"PLEATING, KILTING OR GOFFERING TEXTILE FABRICS OR WEARING APPAREL"
D06L,干洗、水洗或漂白纤维、长丝、纱、线、织物、羽毛或纤维制品,"DRY-CLEANING, WASHING OR BLEACHING FIBRES, FILAMENTS, THREADS, YARNS, FABRICS, FEATHERS OR MADE-UP FIBROUS GOODS；BLEACHING LEATHER OR FURS"
D06M,对纤维、纱、线、织物、羽毛或由这些材料制成的纤维制品进行D06类内其他类目所不包括的处理,"TREATMENT, NOT PROVIDED FOR ELSEWHERE IN CLASS , OF FIBRES, THREADS, YARNS, FABRICS, FEATHERS OR FIBROUS GOODS MADE FROM SUCH MATERIALS"
D06N,墙壁、地面或类似物的覆盖材料，如由涂着一层高分子材料的纤维网制成的油毡、油布、人造革、油毛毡,"WALL, FLOOR, OR LIKE COVERING MATERIALS, e.g. LINOLEUM, OILCLOTH, ARTIFICIAL LEATHER, ROOFING FELT, CONSISTING OF A FIBROUS WEB COATED WITH A LAYER OF MACROMOLECULAR MATERIAL；FLEXIBLE SHEET MATERIAL NOT OTHERWISE PROVIDED FOR"
D06P,纺织品的染色或印花,"DYEING OR PRINTING TEXTILES；DYEING LEATHER, FURS OR SOLID MACROMOLECULAR SUBSTANCES IN ANY FORM"
D06Q,纺织品的装饰,DECORATING TEXTILES
D07B,一般的绳或缆,ROPES OR CABLES IN GENERAL
D21B,纤维原料或其机械处理,FIBROUS RAW MATERIALS OR THEIR MECHANICAL TREATMENT
D21C,从含纤维素原料中除去非纤维素物质生产纤维素,PRODUCTION OF CELLULOSE BY REMOVING NON-CELLULOSE SUBSTANCES FROM CELLULOSE- CONTAINING MATERIALS；REGENERATION OF PULPING LIQUORS；APPARATUS THEREFOR
D21D,上造纸机前蒸煮原料的处理,TREATMENT OF THE MATERIALS BEFORE PASSING TO THE PAPER-MAKING MACHINE
D21F,造纸机,PAPER-MAKING MACHINES；METHODS OF PRODUCING PAPER THEREON
D21G,压光机,CALENDERS；ACCESSORIES FOR PAPER-MAKING MACHINES
D21H,浆料或纸浆组合物,"PULP COMPOSITIONS；PREPARATION THEREOF NOT COVERED BY SUBCLASSES ,；IMPREGNATING OR COATING OF PAPER；TREATMENT OF FINISHED PAPER NOT COVERED BY CLASS  OR SUBCLASS；PAPER NOT OTHERWISE PROVIDED FOR"
D21J,纤维板,FIBREBOARD；MANUFACTURE OF ARTICLES FROM CELLULOSIC FIBROUS SUSPENSIONS OR FROM PAPIER-MÂCHÉ
D99Z,本部其他未列入的技术主题,SUBJECT MATTER NOT OTHERWISE PROVIDED FOR IN THIS SECTION
E01B,铁路轨道,PERMANENT WAY；PERMANENT-WAY TOOLS；MACHINES FOR MAKING RAILWAYS OF ALL KINDS
E01C,道路、体育场或类似工程的修建或其铺面,"CONSTRUCTION OF, OR SURFACES FOR, ROADS, SPORTS GROUNDS, OR THE LIKE；MACHINES OR AUXILIARY TOOLS FOR CONSTRUCTION OR REPAIR"
E01D,桥梁,BRIDGES
E01F,附属工程,"ADDITIONAL WORK, SUCH AS EQUIPPING ROADS OR THE CONSTRUCTION OF PLATFORMS, HELICOPTER LANDING STAGES, SIGNS, SNOW FENCES, OR THE LIKE"
E01H,街道清洗,STREET CLEANING；CLEANING OF PERMANENT WAYS；CLEANING BEACHES；CLEANING LAND；DISPERSING FOG IN GENERAL
E02B,水利工程,HYDRAULIC ENGINEERING
E02C,船舶提升设备或机械,SHIP-LIFTING DEVICES OR MECHANISMS
E02D,基础,FOUNDATIONS；EXCAVATIONS；EMBANKMENTS；UNDERGROUND OR UNDERWATER STRUCTURES
E02F,挖掘,DREDGING；SOIL-SHIFTING
E03B,取水、集水或配水的装置或方法,"INSTALLATIONS OR METHODS FOR OBTAINING, COLLECTING, OR DISTRIBUTING WATER"
E03C,干净水或废水的户内卫生管道装置,DOMESTIC PLUMBING INSTALLATIONS FOR FRESH WATER OR WASTE WATER；SINKS
E03D,冲水厕所或带有冲洗设备的小便池,WATER-CLOSETS OR URINALS WITH FLUSHING DEVICES；FLUSHING VALVES THEREFOR
E03F,下水道,SEWERS；CESSPOOLS
E04B,一般建筑物构造,"GENERAL BUILDING CONSTRUCTIONS；WALLS, e.g. PARTITIONS；ROOFS；FLOORS；CEILINGS；INSULATION OR OTHER PROTECTION OF BUILDINGS"
E04C,结构构件,STRUCTURAL ELEMENTS；BUILDING MATERIALS
E04D,屋面覆盖层,ROOF COVERINGS；SKY-LIGHTS；GUTTERS；ROOF-WORKING TOOLS
E04F,建筑物的装修工程,"FINISHING WORK ON BUILDINGS, e.g. STAIRS, FLOORS"
E04G,脚手架、模壳,"SCAFFOLDING；FORMS；SHUTTERING；BUILDING IMPLEMENTS OR AIDS, OR THEIR USE；HANDLING BUILDING MATERIALS ON THE SITE；REPAIRING, BREAKING-UP OR OTHER WORK ON EXISTING BUILDINGS"
E04H,专门用途的建筑物或类似的构筑物,"BUILDINGS OR LIKE STRUCTURES FOR PARTICULAR PURPOSES；SWIMMING OR SPLASH BATHS OR POOLS；MASTS；FENCING；TENTS OR CANOPIES, IN GENERAL"
E05B,锁,LOCKS；ACCESSORIES THEREFOR；HANDCUFFS
E05C,用于翼扇,"BOLTS OR FASTENING DEVICES FOR WINGS, SPECIALLY FOR DOORS OR WINDOWS"
E05D,门、窗或翼扇的铰链或其他悬挂装置,"HINGES OR SUSPENSION DEVICES FOR DOORS, WINDOWS OR WINGS"
E05F,使翼扇移到开启或关闭位置的器件,"DEVICES FOR MOVING WINGS INTO OPEN OR CLOSED POSITION；CHECKS FOR WINGS；WING FITTINGS NOT OTHERWISE PROVIDED FOR, CONCERNED WITH THE FUNCTIONING OF THE WING"
E05G,贵重物品保险箱或保险库,SAFES OR STRONG-ROOMS FOR VALUABLES；BANK PROTECTION DEVICES；SAFETY TRANSACTION PARTITIONS
E06B,在建筑物、车辆、围栏或类似围绕物的开口处用的固定式或移动式闭合装置,"FIXED OR MOVABLE CLOSURES FOR OPENINGS IN BUILDINGS, VEHICLES, FENCES, OR LIKE ENCLOSURES, IN GENERAL, e.g. DOORS, WINDOWS, BLINDS, GATES"
E06C,梯子,LADDERS
E21B,土层或岩石的钻进,"EARTH OR ROCK DRILLING；OBTAINING OIL, GAS, WATER, SOLUBLE OR MELTABLE MATERIALS OR A SLURRY OF MINERALS FROM WELLS"
E21C,采矿或采石,MINING OR QUARRYING
E21D,竖井,SHAFTS；TUNNELS；GALLERIES；LARGE UNDERGROUND CHAMBERS
E21F,矿井或隧道中或其自身的安全装置,"SAFETY DEVICES, TRANSPORT, FILLING-UP, RESCUE, VENTILATION, OR DRAINAGE IN OR OF MINES OR TUNNELS"
E99Z,本部其他未列入的技术主题,SUBJECT MATTER NOT OTHERWISE PROVIDED FOR IN THIS SECTION
F01B,一般的或变容式的机器或发动机,"MACHINES OR ENGINES, IN GENERAL OR OF POSITIVE-DISPLACEMENT TYPE, e.g. STEAM ENGINES"
F01C,旋转活塞式或摆动活塞式机器或发动机,ROTARY-PISTON OR OSCILLATING-PISTON MACHINES OR ENGINES
F01D,非变容式机器或发动机,"NON-POSITIVE-DISPLACEMENT MACHINES OR ENGINES, e.g. STEAM TURBINES"
F01K,蒸汽机装置,STEAM ENGINE PLANTS；STEAM ACCUMULATORS；ENGINE PLANTS NOT OTHERWISE PROVIDED FOR；ENGINES USING SPECIAL WORKING FLUIDS OR CYCLES
F01L,机器或发动机用的循环操作阀,CYCLICALLY OPERATING VALVES FOR MACHINES OR ENGINES
F01M,一般机器或发动机的润滑,LUBRICATING OF MACHINES OR ENGINES IN GENERAL；LUBRICATING INTERNAL-COMBUSTION ENGINES；CRANKCASE VENTILATING
F01N,一般机器或发动机的气流消音器或排气装置,GAS-FLOW SILENCERS OR EXHAUST APPARATUS FOR MACHINES OR ENGINES IN GENERAL；GAS-FLOW SILENCERS OR EXHAUST APPARATUS FOR INTERNAL-COMBUSTION ENGINES
F01P,一般机器或发动机的冷却,COOLING OF MACHINES OR ENGINES IN GENERAL；COOLING OF INTERNAL-COMBUSTION ENGINES
F02B,活塞式内燃机,INTERNAL-COMBUSTION PISTON ENGINES；COMBUSTION ENGINES IN GENERAL
F02C,燃气轮机装置,GAS-TURBINE PLANTS；AIR INTAKES FOR JET-PROPULSION PLANTS；CONTROLLING FUEL SUPPLY IN AIR-BREATHING JET-PROPULSION PLANTS
F02D,燃烧发动机的控制,CONTROLLING COMBUSTION ENGINES
F02F,燃烧发动机的汽缸、活塞或曲轴箱,"CYLINDERS, PISTONS, OR CASINGS FOR COMBUSTION ENGINES；ARRANGEMENTS OF SEALINGS IN COMBUSTION ENGINES"
F02G,热气或燃烧产物的变容式发动机装置,"HOT-GAS OR COMBUSTION-PRODUCT POSITIVE-DISPLACEMENT ENGINE PLANTS；USE OF WASTE HEAT OF COMBUSTION ENGINES, NOT OTHERWISE PROVIDED FOR"
F02K,喷气推进装置,JET-PROPULSION PLANTS
F02M,般燃烧发动机可燃混合物的供给或其组成部分,SUPPLYING COMBUSTION ENGINES IN GENERAL WITH COMBUSTIBLE MIXTURES OR CONSTITUENTS THEREOF
F02N,燃烧发动机的起动,"STARTING OF COMBUSTION ENGINES；STARTING AIDS FOR SUCH ENGINES, NOT OTHERWISE PROVIDED FOR"
F02P,除压缩点火之外的内燃机点火,"IGNITION, OTHER THAN COMPRESSION IGNITION, FOR INTERNAL-COMBUSTION ENGINES；TESTING OF IGNITION TIMING IN COMPRESSION-IGNITION ENGINES"
F03B,液力机械或液力发动机,MACHINES OR ENGINES FOR LIQUIDS
F03C,液体驱动的变容式发动机,POSITIVE-DISPLACEMENT ENGINES DRIVEN BY LIQUIDS
F03D,风力发动机,WIND MOTORS
F03G,弹力、重力、惯性或类似的发动机,"SPRING, WEIGHT, INERTIA, OR LIKE MOTORS；MECHANICAL-POWER-PRODUCING DEVICES OR MECHANISMS, NOT OTHERWISE PROVIDED FOR OR USING ENERGY SOURCES NOT OTHERWISE PROVIDED FOR"
F03H,不包含在其他类目中的反推力的产生,"PRODUCING A REACTIVE PROPULSIVE THRUST, NOT OTHERWISE PROVIDED FOR"
F04B,液体变容式机械,POSITIVE-DISPLACEMENT MACHINES FOR LIQUIDS；PUMPS
F04C,旋转活塞或摆动活塞的液体变容式机械,"ROTARY-PISTON, OR OSCILLATING-PISTON, POSITIVE-DISPLACEMENT MACHINES FOR LIQUIDS；ROTARY-PISTON, OR OSCILLATING-PISTON, POSITIVE-DISPLACEMENT PUMPS"
F04D,非变容式泵,NON-POSITIVE-DISPLACEMENT PUMPS
F04F,通过与别的流体直接接触或通过利用被泵送流体的惯性泵送流体,PUMPING OF FLUID BY DIRECT CONTACT OF ANOTHER FLUID OR BY USING INERTIA OF FLUID TO BE PUMPED；SIPHONS
F15B,一般流体工作系统,"SYSTEMS ACTING BY MEANS OF FLUIDS IN GENERAL；FLUID-PRESSURE ACTUATORS, e.g. SERVOMOTORS；DETAILS OF FLUID-PRESSURE SYSTEMS, NOT OTHERWISE PROVIDED FOR"
F15C,计算或控制用的流体回路元件,FLUID-CIRCUIT ELEMENTS PREDOMINANTLY USED FOR COMPUTING OR CONTROL PURPOSES
F15D,流体动力学,"FLUID DYNAMICS, i.e. METHODS OR MEANS FOR INFLUENCING THE FLOW OF GASES OR LIQUIDS"
F16B,紧固或固定构件或机器零件用的器件，如钉、螺栓、簧环、夹、卡箍或楔,"DEVICES FOR FASTENING OR SECURING CONSTRUCTIONAL ELEMENTS OR MACHINE PARTS TOGETHER, e.g. NAILS, BOLTS, CIRCLIPS, CLAMPS, CLIPS OR WEDGES；JOINTS OR JOINTING"
F16C,轴,"SHAFTS；FLEXIBLE SHAFTS；MECHANICAL MEANS FOR TRANSMITTING MOVEMENT IN A FLEXIBLE SHEATHING；ELEMENTS OF CRANKSHAFT MECHANISMS；PIVOTS；PIVOTAL CONNECTIONS；ROTARY ENGINEERING ELEMENTS OTHER THAN GEARING, COUPLING, CLUTCH OR BRAKE ELEMENTS；BEARINGS"
F16D,传送旋转运动的联轴器,COUPLINGS FOR TRANSMITTING ROTATION；CLUTCHES；BRAKES
F16F,弹簧,SPRINGS；SHOCK-ABSORBERS；MEANS FOR DAMPING VIBRATION
F16G,主要用于传动的带、缆或绳,"BELTS, CABLES, OR ROPES, PREDOMINANTLY USED FOR DRIVING PURPOSES；CHAINS；FITTINGS PREDOMINANTLY USED THEREFOR"
F16H,传动装置,GEARING
F16J,活塞,PISTONS；CYLINDERS；PRESSURE VESSELS IN GENERAL；SEALINGS
F16K,阀,VALVES；TAPS；COCKS；ACTUATING-FLOATS；DEVICES FOR VENTING OR AERATING
F16L,管子,"PIPES；JOINTS OR FITTINGS FOR PIPES；SUPPORTS FOR PIPES, CABLES OR PROTECTIVE TUBING；MEANS FOR THERMAL INSULATION IN GENERAL"
F16M,非专门用于其他类目所包含的发动机、机器或设备的框架、外壳或底座,"FRAMES, CASINGS OR BEDS OF ENGINES, MACHINES OR APPARATUS, NOT SPECIFIC TO ENGINES, MACHINES OR APPARATUS PROVIDED FOR ELSEWHERE；STANDS；SUPPORTS"
F16N,润滑,LUBRICATING
F16P,一般安全装置,SAFETY DEVICES IN GENERAL
F16S,一般结构元件,"CONSTRUCTIONAL ELEMENTS IN GENERAL；STRUCTURES BUILT-UP FROM SUCH ELEMENTS, IN GENERAL"
F16T,凝汽阀或从主要盛装气体或蒸气的密闭容器中排放液体的类似装置,STEAM TRAPS OR LIKE APPARATUS FOR DRAINING-OFF LIQUIDS FROM ENCLOSURES PREDOMINANTLY CONTAINING GASES OR VAPOURS
F17B,可调容量的贮气罐,GAS-HOLDERS OF VARIABLE CAPACITY
F17C,盛装或贮存压缩的、液化的或固化的气体容器,"VESSELS FOR CONTAINING OR STORING COMPRESSED, LIQUEFIED, OR SOLIDIFIED GASES；FIXED-CAPACITY GAS-HOLDERS；FILLING VESSELS WITH, OR DISCHARGING FROM VESSELS, COMPRESSED, LIQUEFIED, OR SOLIDIFIED GASES"
F17D,管道系统,PIPE-LINE SYSTEMS；PIPE-LINES
F21H,白炽汽灯,INCANDESCENT MANTLES；OTHER INCANDESCENT BODIES HEATED BY COMBUSTION
F21K,应用荧光的非电光源,NON-ELECTRIC LIGHT SOURCES USING LUMINESCENCE；LIGHT SOURCES USING ELECTROCHEMILUMINESCENCE；LIGHT SOURCES USING CHARGES OF COMBUSTIBLE MATERIAL；LIGHT SOURCES USING SEMICONDUCTOR DEVICES AS LIGHT-GENERATING ELEMENTS；LIGHT SOURCES NOT OTHERWISE PROVIDED FOR
F21L,发光装置或其系统,"LIGHTING DEVICES OR SYSTEMS THEREOF, BEING PORTABLE OR SPECIALLY ADAPTED FOR TRANSPORTATION"
F21S,非便携式照明装置或其系统,NON-PORTABLE LIGHTING DEVICES；SYSTEMS THEREOF；VEHICLE LIGHTING DEVICES SPECIALLY ADAPTED FOR VEHICLE EXTERIORS
F21V,照明装置或其系统的功能特征或零部件,"FUNCTIONAL FEATURES OR DETAILS OF LIGHTING DEVICES OR SYSTEMS THEREOF；STRUCTURAL COMBINATIONS OF LIGHTING DEVICES WITH OTHER ARTICLES, NOT OTHERWISE PROVIDED FOR"
F21W,引得表,"INDEXING SCHEME ASSOCIATED WITH SUBCLASSES , ,  and , RELATING TO USES OR APPLICATIONS OF LIGHTING DEVICES OR SYSTEMS"
F21Y,引得表,"INDEXING SCHEME ASSOCIATED WITH SUBCLASSES , ,  and , RELATING TO THE FORM OR THE KIND OF THE LIGHT SOURCES OR OF THE COLOUR OF THE LIGHT EMITTED"
F22B,蒸汽的发生方法,METHODS OF STEAM GENERATION；STEAM BOILERS
F22D,预热或蓄预热,"PREHEATING, OR ACCUMULATING PREHEATED, FEED-WATER FOR STEAM GENERATION；FEED-WATER SUPPLY FOR STEAM GENERATION；CONTROLLING WATER LEVEL FOR STEAM GENERATION；AUXILIARY DEVICES FOR PROMOTING WATER CIRCULATION WITHIN STEAM BOILERS"
F22G,蒸汽过热以加热方法为特征的蒸汽过热,SUPERHEATING OF STEAM
F23B,只用固体燃料的燃烧方法或设备,METHODS OR APPARATUS FOR COMBUSTION USING ONLY SOLID FUEL
F23C,使用流体燃料或悬浮于空气中的固体燃料的燃烧方法或设备,METHODS OR APPARATUS FOR COMBUSTION USING FLUID FUEL OR SOLID FUEL SUSPENDED IN AIR
F23D,燃烧器,BURNERS
F23G,焚化炉,CREMATION FURNACES；CONSUMING WASTE OR LOW GRADE FUELS BY COMBUSTION
F23H,炉箅,GRATES；CLEANING OR RAKING GRATES
F23J,燃烧生成物或燃烧余渣的清除或处理,REMOVAL OR TREATMENT OF COMBUSTION PRODUCTS OR COMBUSTION RESIDUES；FLUES
F23K,燃烧设备的燃料供应,FEEDING FUEL TO COMBUSTION APPARATUS
F23L,一般燃烧设备空气或不可燃液体或气体的输送,SUPPLYING AIR OR NON-COMBUSTIBLE LIQUIDS OR GASES TO COMBUSTION APPARATUS IN GENERAL；VALVES OR DAMPERS SPECIALLY ADAPTED FOR CONTROLLING AIR SUPPLY OR DRAUGHT IN COMBUSTION APPARATUS；INDUCING DRAUGHT IN COMBUSTION APPARATUS；TOPS FOR CHIMNEYS OR VENTILATING SHAFTS；TERMINALS FOR FLUES
F23M,专门适用于燃烧室的外罩，衬层，壁或门，例如火桥,"CASINGS, LININGS, WALLS OR DOORS SPECIALLY ADAPTED FOR COMBUSTION CHAMBERS, e.g. FIREBRIDGES；DEVICES FOR DEFLECTING AIR, FLAMES OR COMBUSTION PRODUCTS IN COMBUSTION CHAMBERS；SAFETY ARRANGEMENTS SPECIALLY ADAPTED FOR COMBUSTION APPARATUS；DETAILS OF COMBUSTION CHAMBERS, NOT OTHERWISE PROVIDED FOR"
F23N,燃烧的调节或控制,REGULATING OR CONTROLLING COMBUSTION
F23Q,点火,IGNITION；EXTINGUISHING DEVICES
F23R,高压或高速燃烧生成物的产生,"GENERATING COMBUSTION PRODUCTS OF HIGH PRESSURE OR HIGH VELOCITY, e.g. GAS-TURBINE COMBUSTION CHAMBERS"
F24B,固体燃料的家用炉或灶,DOMESTIC STOVES OR RANGES FOR SOLID FUELS；IMPLEMENTS FOR USE IN CONNECTION WITH STOVES OR RANGES
F24C,家用炉或灶,"DOMESTIC STOVES OR RANGES；DETAILS OF DOMESTIC STOVES OR RANGES, OF GENERAL APPLICATION"
F24D,住宅供热系统或区域供热系统，例如集中供热系统,"DOMESTIC- OR SPACE-HEATING SYSTEMS, e.g. CENTRAL HEATING SYSTEMS；DOMESTIC HOT-WATER SUPPLY SYSTEMS；ELEMENTS OR COMPONENTS THEREFOR"
F24F,空气调节,AIR-CONDITIONING；AIR-HUMIDIFICATION；VENTILATION；USE OF AIR CURRENTS FOR SCREENING
F24H,一般有热发生装置,"FLUID HEATERS, e.g. WATER OR AIR HEATERS, HAVING HEAT-GENERATING MEANS, e.g. HEAT PUMPS, IN GENERAL"
F24S,太阳能热收集器,SOLAR HEAT COLLECTORS；SOLAR HEAT SYSTEMS
F24T,地热集热器,GEOTHERMAL COLLECTORS；GEOTHERMAL SYSTEMS
F24V,未列入其他类的热的收集,"COLLECTION, PRODUCTION OR USE OF HEAT NOT OTHERWISE PROVIDED FOR"
F25B,制冷机，制冷设备或系统,"REFRIGERATION MACHINES, PLANTS OR SYSTEMS；COMBINED HEATING AND REFRIGERATION SYSTEMS；HEAT PUMP SYSTEMS"
F25C,冰的制造、加工、或处理,"PRODUCING, WORKING OR HANDLING ICE"
F25D,其他相关子类目不包括的冰箱、冷库、冰柜、冷冻设备,REFRIGERATORS；COLD ROOMS；ICE-BOXES；COOLING OR FREEZING APPARATUS NOT OTHERWISE PROVIDED FOR
F25J,通过加压和冷却处理使气体或气体混合物进行液化、固化或分离,"LIQUEFACTION, SOLIDIFICATION, OR SEPARATION OF GASES OR GASEOUS MIXTURES BY PRESSURE AND COLD TREATMENT"
F26B,从固体材料或制品中消除液体的干燥,DRYING SOLID MATERIALS OR OBJECTS BY REMOVING LIQUID THEREFROM
F27B,一般馏炉、窑、烘烤炉或蒸馏炉,"FURNACES, KILNS, OVENS OR RETORTS IN GENERAL；OPEN SINTERING OR LIKE APPARATUS"
F27D,一种以上的炉通用的炉、窑、烘烤炉或蒸馏炉的零部件或附件,"DETAILS OR ACCESSORIES OF FURNACES, KILNS, OVENS OR RETORTS, IN SO FAR AS THEY ARE OF KINDS OCCURRING IN MORE THAN ONE KIND OF FURNACE"
F28B,蒸汽或其他蒸气冷凝器,STEAM OR VAPOUR CONDENSERS
