# ipc_version: 2026.01
# source: WIPO IPC scheme EN XML 2026.01 + CNIPA Chinese classification PDFs
code,zh,en
A61M,将介质输入人体内或输到人体上的器械,"DEVICES FOR INTRODUCING MEDIA INTO, OR ONTO, THE BODY；DEVICES FOR TRANSDUCING BODY MEDIA OR FOR TAKING MEDIA FROM THE BODY；DEVICES FOR PRODUCING OR ENDING SLEEP OR STUPOR"
A61N,电疗,ELECTROTHERAPY；MAGNETOTHERAPY；RADIATION THERAPY；ULTRASOUND THERAPY
A61P,化合物或药物制剂的特定治疗活性,SPECIFIC THERAPEUTIC ACTIVITY OF CHEMICAL COMPOUNDS OR MEDICINAL PREPARATIONS
A61Q,化妆品或类似梳妆用配制品的特定用途1．该小类用于IPC指南第107条之二意义上的二级分类。因此当对专利文献分类时,SPECIFIC USE OF COSMETICS OR SIMILAR TOILETRY PREPARATIONS
A62B,救生设备、救生装置或救生方法,"DEVICES, APPARATUS OR METHODS FOR LIFE-SAVING"
A62C,消防,FIRE-FIGHTING
A62D,灭火用化学装置,"CHEMICAL MEANS FOR EXTINGUISHING FIRES；PROCESSES FOR MAKING HARMFUL CHEMICAL SUBSTANCES HARMLESS, OR LESS HARMFUL, BY EFFECTING A CHEMICAL CHANGE；COMPOSITION OF MATERIALS FOR COVERINGS OR CLOTHING FOR PROTECTING AGAINST HARMFUL CHEMICAL AGENTS；COMPOSITION OF MATERIALS FOR TRANSPARENT PARTS OF GAS-MASKS, RESPIRATORS, BREATHING BAGS OR HELMETS；COMPOSITION OF CHEMICAL MATERIALS FOR USE IN BREATHING APPARATUS"
A63B,体育锻炼、体操、游泳、爬山或击剑用的器械,"APPARATUS FOR PHYSICAL TRAINING, GYMNASTICS, SWIMMING, CLIMBING, OR FENCING；BALL GAMES；TRAINING EQUIPMENT"
A63C,冰鞋,"SKATES；SKIS；ROLLER SKATES；DESIGN OR LAYOUT OF COURTS, RINKS OR THE LIKE"
A63D,保龄球游戏，如九柱戏、意大利滚木球游戏或保龄球,"BOWLING GAMES, e.g. SKITTLES, BOCCE OR BOWLS；INSTALLATIONS THEREFOR；BAGATELLE OR SIMILAR GAMES；BILLIARDS"
